0,5411232;0,3973262;0,0309822;
3,075976;3,936952;0,3033799;
24,9186;43,12399;23,54191;
3,495262;-36,45088;20,79944;
0,259567;0,1839161;0,05056089;
2,184976;0,1915222;5,589349;
0,2852404;3,193057;1,680683;
-4,693628;17,63146;-20,96086;
0,3081922;0,1448957;0,2139945;
3,389246;1,181519;1,867173;
8,429336;3,291301;23,64033;
-1,607695;23,09571;-11,98902;
0,4429246;0,7131587;0,4913853;
5,936337;5,774985;6,192486;
25,01807;43,98627;13,25259;
0,2220068;-18,93994;-11,88826;
0,505615;0,6650836;0,2898973;
3,5962;5,377216;1,153118;
5,407595;39,60249;12,48926;
19,34173;-32,32682;1,453577;
0,1030966;0,2117465;0,7027926;
1,903369;3,854057;0,04115907;
15,38297;1,919566;38,40033;
8,202331;10,19162;8,388893;
